model,seed,fold,description,n_features,best_score,best_params
MLP,14159,1,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,14159,2,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,14159,3,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,14159,4,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,14159,5,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,26535,1,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,26535,2,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,26535,3,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,26535,4,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,26535,5,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,89793,1,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,89793,2,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,89793,3,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,89793,4,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,89793,5,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,23846,1,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,23846,2,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,23846,3,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,23846,4,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,23846,5,combo_distance_geometry+angles,34,0.5239747507394565,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
